model,strategy,task,level,n_samples,accuracy,correct,ci95_lower,ci95_upper
gemini-2.5-flash-image,generate_images,rushhour,2,30,0.4,12,0.24590628116801852,0.5767963974667752
gemini-2.5-flash-image,generate_images,rushhour,3,30,0.1,3,0.03459988874733419,0.25621082579184085
gemini-2.5-flash-image,generate_images,rushhour,4,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,generate_images,rushhour,5,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,generate_images,sliding-puzzle,1,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash-image,generate_images,sliding-puzzle,2,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gemini-2.5-flash-image,generate_images,sliding-puzzle,3,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
gemini-2.5-flash-image,generate_images,sliding-puzzle,4,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,generate_images,sliding-puzzle,5,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,simple,form-board,1,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,simple,form-board,2,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash-image,simple,form-board,3,30,0.1,3,0.03459988874733419,0.25621082579184085
gemini-2.5-flash-image,simple,form-board,4,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,simple,form-board,5,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash-image,simple,hinge-folding,1,30,0.6666666666666666,20,0.4878005164454384,0.8076950191632386
gemini-2.5-flash-image,simple,hinge-folding,2,30,0.16666666666666666,5,0.0733654237184855,0.3356435050641603
gemini-2.5-flash-image,simple,hinge-folding,3,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gemini-2.5-flash-image,simple,hinge-folding,4,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gemini-2.5-flash-image,simple,hinge-folding,5,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gemini-2.5-flash-image,simple,paper-fold,1,30,0.4666666666666667,14,0.30232388907699753,0.638577003801267
gemini-2.5-flash-image,simple,paper-fold,2,30,0.16666666666666666,5,0.0733654237184855,0.3356435050641603
gemini-2.5-flash-image,simple,paper-fold,3,30,0.26666666666666666,8,0.14182663319596317,0.4444796169518888
gemini-2.5-flash-image,simple,paper-fold,4,30,0.2,6,0.0950510717728987,0.3730569641314825
gemini-2.5-flash-image,simple,paper-fold,5,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
gemini-2.5-flash-image,simple,rushhour,1,30,0.6333333333333333,19,0.4551356365479487,0.7812607919389929
gemini-2.5-flash-image,simple,rushhour,2,30,0.5,15,0.33154125640533766,0.6684587435946623
gemini-2.5-flash-image,simple,rushhour,3,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gemini-2.5-flash-image,simple,rushhour,4,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash-image,simple,rushhour,5,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash-image,simple,sliding-puzzle,1,30,0.13333333333333333,4,0.053096554840547455,0.296813266820363
gemini-2.5-flash-image,simple,sliding-puzzle,2,30,0.16666666666666666,5,0.0733654237184855,0.3356435050641603
gemini-2.5-flash-image,simple,sliding-puzzle,3,30,0.0,0,0.0,0.11351339317396876
gemini-2.5-flash-image,simple,sliding-puzzle,4,30,0.03333333333333333,1,0.005908590381612455,0.16670390991409173
gemini-2.5-flash-image,simple,sliding-puzzle,5,30,0.06666666666666667,2,0.018477023791270378,0.2132345836261692
gemini-3-pro-image-preview,generate_images,form-board,1,30,0.10344827586206896,3,0.03581489135067707,0.26385081090773804
gemini-3-pro-image-preview,generate_images,form-board,2,30,0.36666666666666664,11,0.21873920806100708,0.5448643634520511
gemini-3-pro-image-preview,generate_images,form-board,3,30,0.11538461538461539,3,0.04003244623610615,0.2897590321171364
